text_indice	batch	text	DMesure	gold_score_20	gold_score_20_std	gold_score_20_label	gold_label_trunc	gold_label_maj	ANNOT1_LEVEL	ANNOT1_SUBLEVEL	ANNOT2_LEVEL	ANNOT2_SUBLEVEL	ANNOT3_LEVEL	ANNOT3_SUBLEVEL	old_gold_score_20_label	old_gold_label_trunc	old_gold_label_maj
1162	2_2	Des cadeaux magiques à gagner    Tentez de gagner un VOYAGE EN LAPONIE et plein d'autres cadeaux.    Du 01 novembre au 10 janvier 2024, tentez de gagner de nombreux cadeaux à l'occasion des fêtes de fin d'année:   - un voyage en Laponie pour 4 personnes  - l’équipement de cuisine SMEG idéal pour rendre vos fêtes magiques   - des bons d’achat TheFork pour vivre des moments magiques à table dans vos restaurants préférés. Voir modalités sur Cokeurl.com/magie.    En savoir plus	Très Facile	10.666666666666666	3.214550253664318	Accessible	Accessible	Accessible	Accessible	3	Facile	2	Accessible	2	Accessible	Facile	Accessible
975	2_2	L'Appel du 1er février 1954    « Mes amis, au secours ! Une femme vient de mourir gelée, cette nuit, à 3 heures, sur le trottoir du boulevard Sébastopol, serrant sur elle le papier par lequel, avant-hier, on l'avait expulsée.  Chaque nuit, ils sont plus de 2 000 recroquevillés sous le gel. Sans toit. Sans pain. Plus d'un presque nu. Devant tant d'horreur, les cités d'urgence, ce n'est même plus assez urgent.  Écoutez-moi : en trois heures, deux premiers centres de dépannage viennent de se créer. L'un sous la tente, au pied du Panthéon, rue de la Montagne-Sainte-Geneviève ; l'autre à Courbevoie. Ils regorgent déjà, il faut en ouvrir partout. Il faut que ce soir même, dans toutes les villes de France, dans chaque quartier de Paris, des pancartes s'accrochent sous une lumière, dans la nuit, à la porte de lieux où il y ait une ouverture, un lit, une soupe, et où on lise, sous ce titre « Centre fraternel de dépannage », ces simples mots : « Toi qui souffres, qui que tu sois, entre, dors, mange, reprends espoir, ici, on t'aime ».    Discours de l'abbé Pierre lancé au micro de Radio Luxembourg le 1er février 1954.	Accessible	10.666666666666666	3.214550253664318	Accessible	Accessible	Accessible	Accessible	3	Facile	2	Accessible	2	Accessible	Facile	Accessible
855	2_2	Chez nous, à la Grande Ville, notre Mère nous lavait souvent. Sous la douche ou dans la baignoire. Elle nous mettait des habits propres, elle nous coupait les ongles. Pour couper nos cheveux, elle nous accompagnait chez le coiffeur. Nous nous brossions les dents après chaque repas.  Chez Grand-Mère, il est impossible de se laver. Il n'y a pas de salle de bains, il n'y a même pas l'eau courante. Il faut aller pomper l'eau du puits dans la cour, et la porter dans un seau. Il n'y a pas de savon dans la maison, ni de dentifrice, ni de produit pour la lessive.  Tout est sale dans la cuisine. Le carrelage rouge, irrégulier, colle sous les pieds, la grande table colle sous les mains et sous les coudes. Le fourneau est complètement noir de graisse, les murs aussi tout autour à cause de la suie. Bien que Grand-Mère fasse la vaisselle, les assiettes, les cuillers, les couteaux ne sont jamais tout à fait propres, et les casseroles sont couvertes d'une épaisse couche de crasse. Les torchons sont grisâtres et sentent mauvais.  Au début, nous n'avons même pas envie de manger, surtout quand nous voyons comment Grand-Mère prépare les repas, sans se laver les mains et en se mouchant dans sa manche. Plus tard, nous n'y faisons plus attention.    A. Kristof, Le Grand Cahier,  Seuil	Facile	9.0	4.58257569495584	Facile	Facile	Facile	Accessible	3	Très Facile	4	Facile	5	Facile	Facile	Facile
1138	3_1	iPhone 13 Pro Max 128GB    € 700,00  Caractéristiques  État    Comme neuf    Description  iPhone 13 Pro Max en très bon état car toujours protégé par coque et film pour écran.  Vendu avec cable et boite d’origine.  Niveau de batterie à 85%  Clôture des offres le 19/12 à 20h.    Numéro de l'annonce: m2057456818	Très Facile	6.166666666666667	2.753785273643051	Facile	Facile	Facile	Facile	3	Facile	3	Très Facile	3	Facile	Très Facile	Facile
1858	3_1	Un mariage honteux (Marie-Rose)    Nous sommes en 1945. Alice, ma maman habite une ferme au centre d’un village des Ardennes. Elle vit avec ses 4 frères et sœurs, sa maman et une vieille tante célibataire, méchante et très autoritaire. La tante dirige tout dans la maison, les hommes et les bêtes.  Maman participe aux gros travaux de la ferme depuis le décès de son père en 1943. Elle conduit la charrette tirée par un cheval. Elle a 17 ans et aime beaucoup ce travail.  Jean, mon papa, habite le même village. Enfant unique, il vit une enfance et une adolescence sans problèmes. Ses parents sont très pauvres mais le gâtent beaucoup.  Début 1946, ils tombent amoureux. Un peu après, elle est enceinte. Elle en parle à sa famille et... c'est le drame ! Sa tante veut la frapper avec le tisonnier, une barre en métal utilisée pour le feu. Mon oncle l'arrête. Normalement, Alice dort dans le lit avec sa tante. La tante lui dit :  - Maintenant, tu dormiras au pied du lit, sur le petit tapis. C'est la place d'une putain !  Alice vit des jours très difficiles.  Elle se marie le 9 mai 46. Pas le choix ! Avoir un enfant et ne pas être mariée ? La honte ! Jean et ses parents viennent chercher Alice. Elle quitte sa maison, seule. Personne ne vient avec elle. Personne n'ose résister à la tante ! Ils sont cachés derrière la porte de la ferme. Ils la regardent partir.  Alice, Jean et ses parents traversent le village. Ils vont à la maison communale, puis à l'église. Les rues sont vides. Les gens « bien », bons catholiques, sont cachés derrière les rideaux. Ils regardent.  Après la cérémonie, les jeunes mariés partent à la maison de Jean. Ils vont vivre là maintenant.	Très Facile	7.833333333333333	5.008326400438906	Facile	Facile	Facile	Accessible	3	Très Facile	3	Facile	3	Facile	Facile	Facile
1962	3_1	Comment viennent les bébés (Françoise)     Nous sommes en 1980, Je conduis la voiture. Mon fils de 7 ans est assis à l’arrière.  Nous revenons de l'école. Tout à coup, j'entends sa petite voix :  -Dis, Maman, comment le papa, il met la petite graine ?  C'est difficile de répondre : je dois faire attention à la route. J'explique plus tard à maison, avec un bon livre.  Quelle différence avec mon enfance !    En 1950, j'ai le même âge. Moi, je connais la réponse : la cigogne apporte les bébés. Maman me l'a dit. Une grande personne ne se trompe jamais.  J'aime expliquer aux adultes l'histoire de la cigogne. Un jour, dans l'ascenseur, je serre contre moi une poupée noire. Je demande :  - Savez-vous pourquoi moi, blanche, j'ai un enfant noir ? C'est très simple. J'ai demandé à la cigogne des Noirs de me l'apporter !  Donc la cigogne apporte les bébés. Mais on trouve aussi les bébés garçons dans les choux. Et les bébés filles dans les roses.  Je suis contente de ces explications jusqu'à 10 ans. Ensuite, je parle avec une copine plus âgée. Elle me montre le gros ventre des femmes enceintes. Nous nous posons la question :  - Comment le bébé sort-il de là ?  Nous discutons longtemps. Nous ne trouvons pas la réponse. Alors, nous essayons une expérience. Nous examinons nos corps de petites filles. Nous n'avons pas de frette au milieu du ventre. Mais notre nombril ressemble à un bouton-pression. Nous réfléchissons et nous trouvons :  -Le ventre de la maman gonfle et l'enfant sort avec ce bouton-pression. Maintenant, nous pouvons penser à d'autres choses.  A cette époque, on ne parlait pas de tout ça avec les adultes.	Très Facile	7.833333333333333	5.008326400438906	Facile	Facile	Facile	Accessible	3	Très Facile	3	Facile	3	Facile	Facile	Facile
1803	3_1	Fidèle à sa mission de passeur de mémoire, Ages et Transmissions, à travers cette nouvelle publication de témoignages rédigés par des seniors, la plupart nés en Belgique, va à la rencontre du public issu de l'immigration qui fréquente les cours d'alphabétisation. L'enjeu est de tisser des liens entre hier et aujourd'hui mais aussi entre ici et ailleurs.  Cet échantillon de 31 récits à la première personne, inscrits dans le contexte historique des années 1940 à 1975, démontre que ce matériau historique est bien plus proche de nous que ce que l'on pourrait croire. Non seulement par les faits racontés eux-mêmes mais par les mentalités qui en sont bien souvent à l'origine. Son but est de permettre aux participants aux cours d'alphabétisation d'appréhender une réalité inconnue mais au fond pas si lointaine, si différente.  La lecture en cours d'alphabétisation de ces récits de vie, racontés avec simplicité appelle les apprenants à témoigner à leur tour de leurs expériences, de leurs souvenirs de leurs valeurs, d'ouvrir le débat, en bref de mieux se connaître pour mieux se comprendre.  Pour Lire et Écrire, qui situe ses actions dans le champ de l'alphabétisation populaire et favorise la rencontre des différentes cultures et leur confrontation constructive, ce nouveau recueil d'histoires vécues édité par Ages et Transmissions est un excellent outil de connaissance et de réflexion qui permet le débat dans le respect des personnes, et encourage le « vivre ensemble dans le respect des diversités ».  Extrait de la préface de Pascale Martin  Lire et Écrire asbl, coordinatrice de la mission « organisation des cours »	+Complexe	14.0	2.6457513110645907	Accessible	Accessible	Accessible	+Complexe	2	Accessible	2	Accessible	3	Accessible	Accessible	Accessible
1984	3_1	Mon arrivée en Belgique (Habiba)    Mon nom est Habiba. Je suis née en 1940 à Tanger. Je me suis mariée à 13 ans. C'était la tradition au Maroc. Les filles se mariaient très jeunes. Mon mari travaillait pour une société française. Il creusait des puits à Tanger.  En 1963, mon mari a un accident. Il n'a plus de travail. Nous n'avons plus d'argent. Depuis peu, son frère travaille en Belgique, suite aux accords entre la Belgique et le Maroc. Il lui propose d'immigrer et lui envoie un contrat de travail dans la construction.  En 1965, mon mari part seul en Belgique. Son frère l'aide à trouver un logement. Il travaille dès son arrivée. Je le rejoins un peu plus tard avec nos deux enfants. Je ne parle pas le français. Je ne sais pas lire. Je ne connais personne.  Je cherche un travail. Mon fils de 12 ans m'accompagne partout. Il m'aide à lire les annonces. Je trouve enfin ! Je serai femme de ménage. Ma patronne m'accepte. J'apprends rapidement le français. J'obtiens d'autres contrats d'employée de maison. J'ai toujours de très bonnes relations avec mes patronnes.  Je cherche à louer un nouvel appartement. Un propriétaire belge me dit :  - Ce n'est pas pour vous, les immigrés. Retournez chez vous !  J'avais lu l'affiche « À louer ». Je n'avais pas lu toute l'annonce. Elle disait : « Pas pour les étrangers ! »  Je suis profondément blessée. Je me sens étrangère. Je ne fais pas vraiment partie de ce pays. Je crois que certains Belges ne nous aiment pas.  Je ne me décourage pas. Je continue mes recherches. Je me présente à la commune. Les employées m'écoutent. Elles m'aident. Le lendemain, je signe un bail. Je reçois les clés de notre nouvelle habitation. Je suis heureuse.	Facile	8.5	4.092676385936225	Facile	Facile	Facile	Accessible	3	Très Facile	5	Facile	3	Facile	Facile	Facile
130	3_1	Au début    Lilia  « Au début il n’y avait ni le métro ni le bus, ni mairie, ni magasins, ni CAF ni les marchés, ni l’Assurance-maladie ni les logements sociaux ni médecins.  Au début il y avait seulement des difficultés et maintenant je connais tous ces endroits. »    Judith  « Au début il n’y avait ni ma mamma ni mes sœurs ni mes amis ni la liberté pour sortir ni mes plats préférés ni la plage ni un bon « ceviche » ni notre maison ni la crise économique ni la musique latine.  Au début il y avait seulement la joie, avec ma mère, ma famille, mes voisins et mon quartier. »	Très Facile	9.166666666666666	3.3291640592396963	Facile	Facile	Facile	Accessible	3	Facile	2	Facile	3	Facile	Facile	Facile
402	3_1	Comment la France est-elle devenue terre d'accueil de la bande dessinée ?    Les Échos ont rencontré Benoît Mouchard, directeur éditorial de Casterman, et Thomas Ragon, directeur de collection chez Dargaud.     Benoît Mouchard, à votre avis, la France a-t-elle le monopole de la bande dessinée ?   Sûrement pas ! La bande dessinée est depuis longtemps un art mondial. Dans les pays scandinaves, dans les pays du sud de l'Europe et en Asie, partout il y a de la BD.     Quel a été votre état d'esprit pendant les années où vous avez dirigé le festival d'Angoulême ?   J'ai toujours voulu faire découvrir « une BD venue d'ailleurs ».     Thomas Ragon, pourquoi parle-t-on de spécificités françaises dans le domaine de la BD ?   Je vois deux raisons principales. Tout d'abord, en France, on reconnaît la bande dessinée comme un art à part entière. De plus, ici, on lit plus de BD que dans les autres pays. Plus de reconnaissance et plus de lecteurs, forcément ça attire les auteurs !      Selon vous, pour quelles raisons la France est-elle devenue une terre d'accueil pour les auteurs de BD ?   La chance de la France, c'est aussi d'avoir eu à un moment une génération incroyable. On a eu en même temps Moebius, Goscinny, Enki Bilal et plein d'autres : on a eu le talent et la quantité ! Les auteurs du monde entier l'ont vu et nous avons attiré ici des Italiens comme Hugo Pratt, des Chiliens comme Alejandro Jodorowski, des Espagnols comme Juanjo Guarnido.      Le directeur éditorial suit l'élaboration d'un livre, de la recherche d'auteur à la promotion de l'ouvrage. Il sélectionne les œuvres à éditer et propose de nouvelles idées.   Le directeur de collection est un éditeur qui a la responsabilité d'une collection précise parmi celles publiées par sa maison d'édition.	Facile	14.333333333333334	2.516611478423584	Accessible	Accessible	Accessible	+Complexe	2	Accessible	4	Accessible	2	Accessible	Accessible	Accessible
340	3_1	c'est quoi, une information ?    Pour comprendre le monde, on a besoin d'informations. Mais comment reconnaître une « vraie » info ? 1jour1actu vous donne quelques indices...  Une information, C'EST un message fondé sur des faits vérifiés.   Elle peut prendre différentes formes :   UN TEXTE  UN SON  UNE VIDÉO  UNE PHOTO  Une information, CE N'EST PAS...  un simple témoignage  Quelqu'un a été témoin de quelque chose : il en parle aux médias ou sur Internet. C'est peut-être une information...ou pas ! Cette personne peut raconter des mensonges, ou simplement s'être trompée.  un communiqué  Un homme politique, ou une entreprise envoie un message aux médias. Ce message contient de l'information, mais dans le but de communiquer et d'influencer l'opinion des gens.  une opinion  Quelqu'un donne son avis sur l'actualité ? C'est peut-être intéressant mais, à lui seul, ce point de vue ne suffit pas pour être une information.  une publicité   La publicité cherche à convaincre les gens d'acheter quelque chose. Ce n'est pas un message neutre, donc ce n'est pas une information.  C'est quoi, une FAUSSE information ?  Une information, c'est une histoire ou des paroles qui ont été inventées...  mais qu'on présente comme une information, pour faire croire que c'est vraiment arrivé.  D'après http://www.francetvinfo.fr	Facile	9.833333333333334	2.8431203515386634	Facile	Facile	Facile	Accessible	3	Facile	3	Facile	4	Facile	Facile	Facile
1813	3_1	Ils sont là tous les deux, sur la photo, ils ne sont pas en France depuis très longtemps, ils ont quelque chose de fier et de joyeux. Ils sont partis du même village, à la fin des années soixante. Officiellement, mon père a trente ans.  Longtemps, j'ignore comment il arrive en France. Peut-être a-t-il marché? C'est un mot qu'utilisent mes oncles dans leurs récits. Ils disent : « La marche. » « On a marché. » Aujourd'hui, les hommes remontent à pied depuis le Mali, en passant par la Mauritanie, puis la Libye. Ceux qui le peuvent travaillent en chemin. Ils traversent l'Algérie. Ils entrent en Europe par la Grèce. Ils marchent encore, ils paient un camionneur, et c'est la France. J'imagine aussi parfois qu'un avion se pose à Orly. Mon père en descend. Il tend un passeport au douanier.	Facile	9.833333333333334	2.8431203515386634	Facile	Facile	Facile	Accessible	3	Facile	4	Facile	3	Facile	Facile	Facile
249	3_1	"Dernière semaine de résidence - les émotions    ""La semaine dernière à été forte en émotions.  C'était la dernière semaine de résidence à Caen, autour de notre projet d'écriture d'un livre ""facile à lire"" pour adultes débutants en lecture.   Je suis retournée voir les groupes de personnes concernées avec la fin du texte sous le bras, et j'ai constaté qu'elle était attendue de pied ferme.   Nous avons lu, corrigé quelques petites choses, nous avons ri. Il y a eu du plaisir, de l'étonnement, de l'émotion partagée, de l'envie exprimée de tenir entre ses mains l'objet livre quand il existera (ceci est un appel officiel à notre futur éditeur qui s'ignore encore : l'aventure sera belle, croyez-y !).   L'été va être l'occasion de laisser reposer le texte avant les dernières relectures à la rentrée.   Quel bonheur, vraiment, d'avoir participé à ce projet qui pouvait sembler un peu dingue, mais qui ne l'était pas : il était juste beau !""  Gaëlle Pingault"	Accessible	12.5	0.5	Accessible	Accessible	Accessible	Accessible	3	Accessible	2	Accessible	3	Accessible	Accessible	Accessible
1978	3_1	"Education    ""Vous serez surpris de c'que Maman m'a dit sur comment elle a reçu son éducation. Elle a dit qu'elle gardait un livre de classe caché dans son corsage tout l'temps et, quand les enfants blancs revenaient d' l'école, elle leur posait un tas de questions sur ce qu'ils avaient appris ce jour-là et, parce qu'elle était fière de chaque petit morceau d'éducation qu'elle pouvait obtenir, les enfants blancs lui ont appris à lire et à écrire. Toute l'éducation qu'elle a reçue, elle l'a eue des enfants blancs dans la grande maison. Et elle était si maligne en les faisant lui apprendre qu'après la fin de la guerre elle a pu être institutrice.""  Alice Green"	Accessible	11.833333333333334	1.6072751268321592	Accessible	Accessible	Accessible	Accessible	3	Accessible	3	Facile	5	Accessible	Facile	Accessible
1537	3_1	DÉCLARATION EN DOUANE - CN22    LA POSTE France    □ Cadeau   □ Documents   □ Vente de marchandises  □ Échantillon commercial   □ Retour de marchandises  □ Autre (veuillez spécifier):    Quantité et description détaillée du contenu (1) :  Poids net (2) :  Valeur et monnaie (3) :  Numéro tarifaire SH* (4) :  Pays d'origine (5) :  Poids total (en kg) (6) :  Valeur totale (7) :    Je, soussigné dont le nom et l'adresse figurent sur l'envoi, certifie que les renseignements donnés dans la présente déclaration sont exacts et que cet envoi ne contient aucun objet dangereux ou interdit par la législation ou la réglementation postale ou douanière  Date et signature de l'expéditeur (8)    Instructions  Pour accélérer le dédouanement, vous devez remplir tous les champs applicables de cette formule en anglais, en français ou dans une langue admise par le pays de destination. Vous devez indiquer le nom et l'adresse complète de l'expéditeur sur le dessus de l'envoi.  Pour les envois commerciaux, nous vous recommandons de remplir les champs marqués d'un astérisque (*), et d'attacher la facture à l'extérieur de l'envoi.  (1) Veuillez fournir une description détaillée (les descriptions génériques, telles que « vêtements » ne sont pas acceptables).  (2), (3) Veuillez mentionner le poids et la valeur avec la monnaie de chaque objet.  (4*) Le numéro tarifaire du SH (à six chiffres) doit être basé sur le Système harmonisé de désignation et de codification des marchandises élaboré par l'Organisation mondiale des douanes. (5*) Le terme « pays d'origine » désigne le pays de provenance des marchandises, ex. le pays de production, de fabrication ou d'assemblage.  (6), (7) Veuillez fournir le poids total et la valeur intégrale de l'envoi.  (8) Votre signature et la date confirment votre responsabilité à l'égard de l'envoi.	+Complexe	14.0	2.6457513110645907	Accessible	Accessible	Accessible	+Complexe	2	Accessible	2	Accessible	3	Accessible	Accessible	Accessible
1207	3_1	CHUTES ET CHOCS    La maison est l'endroit où l'on se sent le plus en sécurité. Pourtant, chaque année, 4 millions d'accidents de la vie courante nécessitent des soins médicaux ou entraînent une hospitalisation. Les chutes et les chocs représentent à eux seuls plus de trois accidents domestiques sur quatre. C'est parce qu'on ne sait pas s'en méfier qu'ils arrivent.    Comment éviter les pièges de la maison ?  1. Une rampe installée le long du mur ou de l'escalier vous aide à monter et à descendre plus sûrement.  2. Évitez de laisser des obstacles sur votre chemin habituel (plantes, tabouret).  3. N'hésitez pas à mettre un tapis antidérapant dans votre douche ou votre baignoire.  4. Installez un éclairage suffisant dans chaque pièce.  5. Ne faites pas l'acrobate sur un escabeau dont vous n'avez pas vérifié la stabilité.	Accessible	9.666666666666666	3.055050463303893	Facile	Facile	Facile	Accessible	3	Facile	4	Facile	2	Facile	Facile	Facile
1145	3_1	Annonce n° 83  Dans quartier calme, grand appartement, 1er étage, cuisine, séjour, salle de bains, douche, 3 chambres, un balcon sur rue commerçante, un balcon sur cour. Très ensoleillé.    Annonce n° 84  Dans immeuble neuf, grand appartement, 2e étage, cuisine aménagée, séjour, 3 chambres, salle de bain, placards, lingerie.  Balcon sur rue calme. Proche commerces, écoles.    S'adresser agence « IMMO'BIL » - Tél. : 06 34 58 74 43	Très Facile	6.333333333333333	5.773502691896258	Facile	Très Facile	Très Facile	Accessible	3	Très Facile	3	Très Facile	3	Facile	Très Facile	Facile
860	3_1	Histoire d'on    A la porte de mon école, un dragon pas méchant monte la garde. Il adore les bonbons, le drôle.   Pas étonnant s'il a mal à une dent, une dent de dragon, grosse comme un melon. Un dentiste est arrivé. Le dragon lui a montré la dent gâtée et comme il est dragon de métier, il a craché des flammes terribles qui ont brûlé la barbe du dentiste. Vite! On a appelé les pompiers et les flammes se sont calmées. Le dentiste a pu arracher la dent grosse comme un melon. Il mangera des carottes, le brave dragon!	Facile	8.0	5.0	Facile	Facile	Facile	Accessible	3	Très Facile	3	Facile	3	Facile	Facile	Facile
1032	3_1	Infos pratiques & accès    mardi 12 décembre 2023  Votre centre commercial est actuellement ouvert jusqu'à 20h00  Les restaurants, le cinéma et les loisirs sont ouverts tous les jours jusqu’à 23h (y compris le dimanche).    Horaires de la galerie  lundi        10h à 20h  mardi        10h à 20h  mercredi    10h à 20h  jeudi        10h à 20h  vendredi    10h à 20h  samedi        10h à 20h  dimanche    10h à 19h  LES RESTAURANTS, LE CINÉMA ET LES LOISIRS SONT OUVERTS TOUS LES JOURS (Y COMPRIS LE DIMANCHE) JUSQU’À 23H  CULTURA SERA OUVERT JUSQU'À 20H CE DIMANCHE 17 DÉCEMBRE    Ouvertures exceptionnelles  17 décembre 2023    10h à 19h  24 décembre 2023    10h à 18h  Fermetures exceptionnelles  31 décembre 2023    Comment venir ?  En transport en commun  - Lignes Idelis P7, P12, P13 et T3  - Ligne Transports 64 n°801  - Arrêts Quartier Libre et Lescar Soleil  En voiture  - Par la Route de Bayonne / Boulevard de l’Europe  En vélo  - Avec le service IDEcycle	Très Facile	5.833333333333333	2.9297326385411573	Facile	Facile	Facile	Facile	3	Facile	2	Très Facile	3	Facile	Très Facile	Facile
204	3_1	Horoscope de la semaine du 16 au 22 octobre 2023 pour le Lion (23 juillet - 22 août)    Branle bas de combat. Week-end chargé en famille ! Réunion, conseil, votre tribu se réunit pour fêter un événement ou prendre des décisions. Bonne nouvelle, les astres vous accompagnent toute la semaine pour préparer le terrain, organiser des concertations, régler tous les détails avant le grand jour.  Le signe allié : La Balance, experte en médiation et diplomatie en tout genre.	Facile	10.666666666666666	5.507570547286102	Accessible	Facile	Facile	+Complexe	2	Facile	3	Facile	2	Accessible	Facile	Accessible
209	3_2	Horoscope de la semaine du 16 au 22 octobre 2023 pour la Vierge (23 août - 22 septembre)    C’est possible ! L’œil rivé sur vos comptes, vous passez en mode audit et calcul afin d’évaluer le coût d’un projet, d’un voyage, d’une formation. La question est «Et-ce que je me fais plaisir ou pas ?». Économe et prudente de nature, la décision est difficile. La réponse des astres est Oui ! Foncez !  Le signe allié : Le Taureau, excellent gestionnaire, ses conseils sont précieux.	Accessible	13.0	5.291502622129181	Accessible	Accessible	Accessible	+Complexe	2	Facile	2	Accessible	5	Accessible	Accessible	Accessible
537	3_2	Idées pour les vacances    [...]  - Se promener au bord de l’eau  - S’allonger dans un hamac  - Aller écouter des concerts de plein air  - Se préparer des boissons fraîches  - Suivre un papillon  - Cueillir des fleurs  - Pique-niquer  - Préparer un gâteau avec quelqu’un  - Flâner dans une librairie  - Observer les étoiles  - Prendre une boisson en terrasse  - Lire  - Dessiner  - Faire une bataille d’eau  - Observer le ciel chaque soir avant de se coucher  - Danser  - Ranger un petit coin à la fois  - Jouer avec les enfants, des amis  - Aller au cinéma  - Manger une glace au parfum insolite  - Traîner dehors le soir  - Aller voir un feu d’artifice	Très Facile	7.5	5.5	Facile	Facile	Facile	Accessible	3	Très Facile	2	Facile	3	Facile	Facile	Facile
1525	3_2	FORMULAIRE D’INSCRIPTION - Institut Culturel Italien - LYON    INSTITUT CULTUREL ITALIEN  45 rue de la Bourse – 69002 Lyon  Tel : 04 78 42 13 84  secretariat.iiclyon@esteri.it    NOM* :________________ PRENOM* :________________  Adresse* :_______________________________________________  Code Postal *:________________ Ville* :________________  Tél. fixe : ________________ Portable* : ________________  e-mail*: ________________@___________________  Profession : ________________ Age : ________________  *Champs obligatoires - remplir en caractère d’imprimeries    A QUEL COURS SOUHAITEZ-VOUS VOUS INSCRIRE ? (selon calendrier sur notre site internet www.iiclione.esteri.it et notre brochure)  NIVEAU : ________________  JOUR :________________ HORAIRE :________________ Alternative________________    Etiez-vous étudiant auprès de l’Institut l'an passé : oui □ non □  Si oui, cours fréquenté ________________    FRAIS D’INSCRIPTION : ______________________ réglés par :  □ Virement □ Espèces □ chèque n.________________  Réduction au titre de: ________________ (joindre justificatif)    □ Je déclare avoir lu et accepté les conditions générales indiquées au verso de la présente fiche d’inscription.    Date / /   Lu et approuvé  Signature	Facile	8.333333333333334	5.033222956847166	Facile	Facile	Facile	Accessible	3	Facile	4	Très Facile	3	Facile	Facile	Facile
1985	3_2	Je suis condamné.  J'ai droit à un parloir d'une demi-heure par semaine. Et - quand on m'y autorise - à un parloir d'une heure par mois.  C'est pas lourd une demi-heure par semaine, mais c'est le grand jour. Celui qu'on attend le plus.  Quand on se lève le matin, tout est différent. On est énervé, ça picote de partout. On est impatient.  Le moment arrive enfin. On se retrouve ma femme et moi. Séparés par le muret.  On a le droit de se toucher. Mais pas trop. Si on se tient les mains, ça va.  Si on veut s'embrasser ou se faire un câlin, ça va plus. Et on a toujours envie de plus.  Le parloir n'a pas que des bons côtés. Après le parloir, on est fouillé. Intégralement.  Le visiteur n'a pas à subir ça. Ni avant, ni après. Heureusement.  Pour ceux que l'administration veut punir, il existe des parloirs spéciaux. On te sépare du visiteur par un hygiaphone. Pas moyen d'échanger quoi que ce soit.  Autre source de désagrément : l'attente.  On a parfois la chance de savoir à quelle heure on passera au parloir.  Mais la plupart du temps, on attend. Ça commence à 13h30 et ça termine à 16h30. Si tu passes à 16 heures, tu peux très bien attendre depuis deux heures et demi.  Il y a huit cabines minuscules. 2m X 1m20, séparé par un muret. Trois visiteurs à la fois. Maximum.  Le pire de tout, c'est le parloir fantôme. Tu dois voir quelqu'un mais il a eu un problème, un empêchement, une panne, n'importe quoi. Tu n'en sais rien. Tu es venu et tu attends. Pour rien. Il y a de quoi devenir fou.  « Pas de parloir !  Pourquoi ? »  Pas de réponse. Angoisses. Tu dois attendre la semaine suivante pour avoir une explication.  Les visiteurs, on attend qu'ils soient solides.  Pas qu'ils pleurent. On veut avoir des bonnes nouvelles.  On veut pas qu'il s'inquiètent pour nous. On veut savoir ce qui se passe dehors, pas s'étendre sur ce qui se passe dedans. Nous, ça va. On s'en sortira. C'est la famille qui souffre. Surtout les femmes.  Après le parloir, c'est la tristesse. La soirée est longue et silencieuse.  Tu la vis mal. Tu penses au prochain. Tu l'attends, tu l'espères.  De toute façon, il n'y a que ça à faire.  Espérer. Attendre.	Accessible	7.833333333333333	5.008326400438906	Facile	Facile	Facile	Accessible	3	Très Facile	3	Facile	3	Facile	Facile	Facile
1052	3_2	Le printemps de Bourges festival    L'accueil et la billetterie  Il y a un espace avec un accueil, une billetterie et un vestiaire.  Dans le vestiaire, on peut laisser son sac et des objets.  Cet espace s'appelle le Carré d'Auron.  A l'accueil, des personnes peuvent :  - vous donner des informations sur le festival,  - vous aider à trouver un restaurant, un docteur, un bus et d'autres choses.  L'accueil est ouvert le mardi de 15h à 20h, du mercredi au samedi de 11h à 20h et le dimanche de 11h à 18h.  Le prix des concerts n'est pas toujours le même.   Le prix des concerts va de 10 euros à 59 euros.  Vous pouvez acheter vos billets :  - à l'accueil du festival  - sur le site Internet du festival  - dans des magasins    L'accessibilité  A l'accueil du festival et dans les salles de concert, il y a des gens qui peuvent vous accueillir et vous aider.   Il ont un gilet sans manche avec ce dessin.  L'accueil au Carré d'Auron et les salles de concert sont accessibles aux personnes en fauteuil roulant, sauf le Palais Jacques Coeur.  Si vous êtes en fauteuil roulant avec un accompagnateur, vous pouvez aller sur une plateforme dans dans 3 salles de concert (le W, la Halle au Blé et le Palais d'Auron).  Il faut réserver sa place en ligne à l'avance.  Pendant les concerts, il y a beaucoup de monde.  Si vous êtes debout, vous pouvez être bousculé.  Dans la salle de concert le W, vous pouvez demander une place assise à l'avance.	Très Facile	7.666666666666667	5.033222956847167	Facile	Facile	Facile	Accessible	3	Très Facile	3	Facile	2	Facile	Facile	Facile
